id,class_of,schoool,major,degree_level,grad_term,outcome,employer,position_country,position_city,position_state,salary,cont_edu,cont_edu_field,cont_edu_degree
38,2021,Martin Tuchman School of Management,Master of Business Administration,Master,5/18/2021,Continuing Education, ,,,,,,Management/Finance/Accounting,M.B.A.
39,2021,Martin Tuchman School of Management,Management,Master,5/18/2021,Currently seeking employment, ,,,,,,,
40,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
41,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
42,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
43,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
44,2021,Newark College of Engineering,Biomedical Engineering,Master,5/18/2021,Currently seeking employment, ,,,,,,,
45,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
46,2021,Newark College of Engineering,Civil Engineering,Master,5/18/2021,Currently seeking employment, ,,,,,,,
47,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
48,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
49,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
50,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
51,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
52,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
53,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
54,2021,Newark College of Engineering,Computer Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
55,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
56,2021,College of Science and Liberal Arts,Applied Mathematics,Master,5/18/2021,Currently seeking employment, ,,,,,,,
57,2021,College of Science and Liberal Arts,Applied Physics,Master,5/18/2021,Currently seeking employment, ,,,,,,,
58,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
59,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
60,2021,Ying Wu College of Computing,Computer Science,Doctorate,5/18/2021,Currently seeking employment, ,,,,,,,
61,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
62,2021,Newark College of Engineering,Telecommunications,Master,12/31/2020,Currently seeking employment, ,,,,,,,
63,2021,Newark College of Engineering,Electrical Engineering,Master,12/31/2020,Currently seeking employment, ,,,,,,,
64,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
65,2021,Ying Wu College of Computing,Cyber Security and Privacy,Master,12/31/2020,Currently seeking employment, ,,,,,,,
66,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
67,2021,Ying Wu College of Computing,Information Systems,Master,5/18/2021,Currently seeking employment, ,,,,,,,
68,2021,Ying Wu College of Computing,Business and Information Systems,Master,5/18/2021,Currently seeking employment, ,,,,,,,
69,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
70,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
71,2021,Ying Wu College of Computing,Business and Information Systems,Master,5/18/2021,Currently seeking employment, ,,,,,,,
72,2021,Martin Tuchman School of Management,Management,Master,5/18/2021,Currently seeking employment, ,,,,,,,
73,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
74,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
75,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
76,2021,Hillier College of Architecture and Design,Digital Design,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
77,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
78,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
79,2021,Newark College of Engineering,Computer Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
80,2021,College of Science and Liberal Arts,Communication,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
81,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
82,2021,Newark College of Engineering,Industrial Engineering,Master,5/18/2021,Currently seeking employment, ,,,,,,,
83,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
84,2021,Hillier College of Architecture and Design,Digital Design,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
85,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
86,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
87,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
88,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
89,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Currently seeking employment, ,,,,,,,
90,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
91,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
92,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
93,2021,Newark College of Engineering,Electrical Engineering,Master,5/18/2021,Currently seeking employment, ,,,,,,,
94,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
95,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
96,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
97,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
98,2021,Newark College of Engineering,Computer Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
99,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
100,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment, ,,,,,,,
101,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Currently seeking employment, ,,,,,,,
102,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
103,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
104,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
105,2021,Newark College of Engineering,Industrial Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
106,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
107,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
108,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Currently seeking employment, ,,,,,,,
109,2021,College of Science and Liberal Arts,Materials Science and Engineering,Master,12/31/2020,Currently seeking employment, ,,,,,,,
110,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
111,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
112,2021,Newark College of Engineering,Computer Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
113,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Currently seeking employment, ,,,,,,,
114,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
115,2021,College of Science and Liberal Arts,Biology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
116,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
117,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
118,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
119,2021,College of Science and Liberal Arts,Mathematical Sciences,Bachelor,5/18/2021,Currently seeking employment,,,,,,,Liberal Arts,Master's
120,2021,Newark College of Engineering,Electrical Engineering,Master,5/18/2021,Currently seeking employment,CenterPoint Energy,,,,,,Engineering,
121,2021,College of Science and Liberal Arts,Chemistry,Doctorate,5/18/2021,Currently seeking employment,"Rockefeller university				",,,,,,,
122,2021,College of Science and Liberal Arts,Mathematical Sciences,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
123,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Currently seeking employment,,,,,,,,
124,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Currently seeking employment,,,,,,,,
125,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
126,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
127,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
128,2021,College of Science and Liberal Arts,Biophysics,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
129,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
130,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
131,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
132,2021,Ying Wu College of Computing,Cyber Security and Privacy,Master,5/18/2021,Currently seeking employment, ,,,,,,,
133,2021,Newark College of Engineering,Electrical Engineering,Bachelor,12/31/2020,Currently seeking employment, ,,,,,,,
134,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
135,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
136,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
137,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Currently seeking employment,,,,,,,,
138,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
139,2021,Newark College of Engineering,Electrical Engineering,Master,12/31/2020,Currently seeking employment,,,,,,,Engineering,
140,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Currently seeking employment,,,,,,,,
141,2021,Hillier College of Architecture and Design,Industrial Design,Bachelor,5/18/2021,Currently seeking employment, ,,,,,,,
142,2021,College of Science and Liberal Arts,Chemistry,Bachelor,8/31/2020,Currently seeking employment,,,,,,,,
143,2021,Hillier College of Architecture and Design,Industrial Design,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
144,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
145,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
146,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
147,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
148,2021,College of Science and Liberal Arts,Theater Arts and Technology,Bachelor,5/18/2021,Full-Time,,,,,,,,
149,2021,College of Science and Liberal Arts,Biology,Master,5/18/2021,Full-Time,,,,,,,,
150,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,,,,,,,,
151,2021,Newark College of Engineering,Civil Engineering,Bachelor,8/31/2020,Full-Time, ,,,,,,,
152,2021,Newark College of Engineering,Telecommunications,Master,12/31/2020,Full-Time,,,,,125000.00,,,
153,2021,College of Science and Liberal Arts,Environmental Science,Master,12/31/2020,Full-Time,,,,,,,,
154,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Full-Time, ,,,,,,,
155,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time, ,,,,,,,
156,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Full-Time, ,,,,,,,
157,2021,Hillier College of Architecture and Design,Architecture,Bachelor,12/31/2020,Full-Time, ,,,,,,,
158,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,12/31/2020,Full-Time, ,,,,,,Engineering,Master's
159,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time, ,,,,,,,
160,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time, ,,,,,,,
161,2021,Hillier College of Architecture and Design,Architecture,Master,12/31/2020,Full-Time, ,,,,52000.00,,,
162,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Full-Time, ,,,,,,,
163,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time, ,,,,,,,
164,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time, ,,,,,,,
165,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Full-Time, ,,,,,,,
166,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Full-Time, ,,,,,,,
167,2021,Hillier College of Architecture and Design,Architecture,Master,5/18/2021,Full-Time, ,,,,,,,
168,2021,Newark College of Engineering,Civil Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
169,2021,Ying Wu College of Computing,Business and Information Systems,Master,5/18/2021,Full-Time, ,,,,,,,
170,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,,,,,,,,
171,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,,,,,,,,
172,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Full-Time,,,,,,,,
173,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,,,,,,,,
174,2021,Ying Wu College of Computing,Information Systems,Master,5/18/2021,Full-Time,,,,,,,,
175,2021,Hillier College of Architecture and Design,Interior Design,Bachelor,5/18/2021,Full-Time,,,,,,,,
176,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Full-Time, ,,,,,,,
177,2021,Newark College of Engineering,Chemical Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
178,2021,Newark College of Engineering,Civil Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
179,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,5/18/2021,Full-Time, ,,,,60000.00,,,
180,2021,Newark College of Engineering,Computer Engineering,Bachelor,12/31/2020,Full-Time, ,,,,85000.00,,Engineering,Master's
181,2021,Martin Tuchman School of Management,Master of Business Administration,Master,5/18/2021,Full-Time, ,,,,65000.00,,,
182,2021,Newark College of Engineering,Mechanical Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
183,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Full-Time, ,,,,,,,
184,2021,Ying Wu College of Computing,Computer Science,Master,8/31/2020,Full-Time, ,,,,37440.00,,,
185,2021,Ying Wu College of Computing,Data Science,Master,12/31/2020,Full-Time, ,,,,,,,
186,2021,Newark College of Engineering,Mechanical Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
187,2021,Newark College of Engineering,Transportation,Master,12/31/2020,Full-Time,,,,,,,Engineering,
188,2021,Hillier College of Architecture and Design,Architecture,Master,5/18/2021,Full-Time, ,,,,45000.00,,,
189,2021,College of Science and Liberal Arts,Mathematical Sciences,Doctorate,5/18/2021,Full-Time, ,,,,,,,
190,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,,,,,,,Computing,
191,2021,Ying Wu College of Computing,Computer Science,Doctorate,5/18/2021,Full-Time,,,,,,,,
192,2021,Ying Wu College of Computing,Information Systems,Master,5/18/2021,Full-Time,,,,,57000.00,,,
193,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Full-Time,50 States Engineering Seasonal,,,,,,,
194,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,"A&J Consulting Engineering Services, P.C.",,,,,,,
195,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,"A&J Consulting Engineering Services, P.C.",,,,,,Engineering,Master's
196,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,A2Z Diagnostics,,,,,,,
197,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Full-Time,Abbott,,,,,,,
198,2021,Ying Wu College of Computing,Information Systems,Master,12/31/2020,Full-Time,Abc News,,,,,,,
199,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,12/31/2020,Full-Time,AYing Wu College of Computingenture,,,,,,,
200,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time,AYing Wu College of Computingenture,,,,,,,
201,2021,Newark College of Engineering,Engineering Management,Master,12/31/2020,Full-Time,Accenture,,,,,,,
202,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time,AYing Wu College of Computingenture,,,,,,,
203,2021,Ying Wu College of Computing,Information Technology,Bachelor,8/31/2020,Full-Time,AYing Wu College of Computingenture,,,,,,,
204,2021,Newark College of Engineering,Engineering Management,Master,12/31/2020,Full-Time,Accenture,,,,,,,
205,2021,College of Science and Liberal Arts,Mathematical Sciences,Bachelor,12/31/2020,Full-Time,"Accordant Company, LLC",,,,,,Computing,Master's
206,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,AYing Wu College of Computingounteks Consulting,,,,,,,
207,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,8/31/2020,Full-Time,"Accurate Specialty Metal Fabricators, Inc.",,,,,,,
208,2021,Newark College of Engineering,Mechanical Engineering,Master,5/18/2021,Full-Time,Actasys,,,,,,,
209,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Full-Time,Adjmi Apparel Group,,,,,,,
210,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Full-Time,Adobe,,,,59508.80,,,
211,2021,Ying Wu College of Computing,Business and Information Systems,Master,12/31/2020,Full-Time,AdP,,,,,,,
212,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,AdP,,,,,,,
213,2021,Ying Wu College of Computing,Computer Science,Bachelor,8/31/2020,Full-Time,ADP,,,,,,,
214,2021,Martin Tuchman School of Management,Business,Bachelor,8/31/2020,Full-Time,ADP,,,,,,,
215,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time,ADP,,,,,,,
216,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,8/31/2020,Full-Time,Advanced Racing Development,,,,,,,
217,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Full-Time,AECOM,,,,,,,
218,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time,Aequor Technologies,,,,,,,
219,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Full-Time,Agilent Technologies,,,,,,,
220,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,Ahead Engineering LLC,,,,,,,
221,2021,Newark College of Engineering,Mechanical Engineering,Master,12/31/2020,Full-Time,AK Engineering,,,,,,,
222,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,8/31/2020,Full-Time,Ak Stamping Company,,,,,,,
223,2021,Martin Tuchman School of Management,Management,Master,5/18/2021,Full-Time,Akolagtech,,,,,,,
224,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Full-Time,"Akorn, Inc.",,,,,,,
225,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Full-Time,Albireo Energy,,,,,,,
226,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Full-Time,Alkermes,,,,,,,
227,2021,Ying Wu College of Computing,Data Science,Master,12/31/2020,Full-Time,All Star Directories,,,,,,,
228,2021,Newark College of Engineering,Computer Engineering,Bachelor,5/18/2021,Full-Time,Alminhal Academy,,,,,,,
229,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,12/31/2020,Full-Time,Alpha Source Group,,,,,,,
230,2021,Hillier College of Architecture and Design,Digital Design,Bachelor,5/18/2021,Full-Time,AlsoEnergy,,,,,,Computing,Master's
231,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,5/18/2021,Full-Time,Alston & Bird,,,,,,,
232,2021,Martin Tuchman School of Management,Business,Bachelor,8/31/2020,Full-Time,Amazon,,,,,,,
233,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,Amazon,,,,,,,
234,2021,Ying Wu College of Computing,IT Administration & Security,Master,8/31/2020,Full-Time,Amazon,,,,,,,
235,2021,Hillier College of Architecture and Design,Architecture,Bachelor,12/31/2020,Full-Time,Amazon,,,,,,,
236,2021,Martin Tuchman School of Management,Business Data Science,Doctorate,12/31/2020,Full-Time,Amazon,,,,,,,
237,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,Amazon,,,,,,,
238,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Full-Time,Amazon,,,,,,,
239,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,Amazon,,,,,,,
240,2021,Newark College of Engineering,Industrial Engineering,Master,12/31/2020,Full-Time,Amazon,,,,,,,
241,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Full-Time,Amazon,,,,,,,
242,2021,Newark College of Engineering,Industrial Engineering,Bachelor,8/31/2020,Full-Time,Amazon,,,,,,,
243,2021,Newark College of Engineering,Telecommunications,Master,12/31/2020,Full-Time,Amazon,,,,,,,
244,2021,Newark College of Engineering,Electrical Engineering,Master,12/31/2020,Full-Time,Amazon,,,,,,,
